building,building_code,leed_code
Lemon and Hardy Halls,1,2.1
Rec Center Renovations,2,2.1
Cohen Career Center,3,2.2
Miller Hall (Mason School of Business,4,2.2
School of Education,5,2.2
Tucker Hall,6,2.2
Chancellors Hall,7,3
ISC 3,8,3
Landrum Hall,9,3
Marshall Wythe School of Law Addition,10,3
McLeod Tyler Wellness Center,11,3
Music Arts Center,12,3
PBK Memorial Hall,13,3
West Utility Plant,14,3
Greek Fraternity Community Building,15,3
House 620,16,3H
House 630 ,17,3H
House 640,18,3H
"Houses 660, 670, 710, 720, 730, 740, 750, 760 ",19,3H
Alumni House Addition,20,4
Campus Living Center,21,4
Sadler West Expansion,22,4
